function,file,status,fix_commit
msm_gem_new,drivers/gpu/drm/msm/msm_gem.c,FIXED_EXACT,drm/msm: Fix fall-through warning in msm_gem_new_impl()
nfsd_nl_listener_set_doit,fs/nfsd/nfsctl.c,FIXED_EXACT,nfsd: Fix cred ref leak in nfsd_nl_listener_set_doit().
ntfs_compress_write,fs/ntfs3/file.c,FIXED_EXACT,ntfs3: use folios more in ntfs_compress_write()
ntfs_fallocate,fs/ntfs3/file.c,FIXED_EXACT,fs/ntfs3: Fixing wrong logic in attr_set_size and ntfs_fallocate
ntfs_get_block_vbo,fs/ntfs3/inode.c,FIXED_EXACT,ntfs3: convert ntfs_get_block_vbo() to use a folio
omap_gem_new,drivers/gpu/drm/omapdrm/omap_gem.c,FIXED_EXACT,drm/omap: Fix locking in omap_gem_new_dmabuf()
parse_sec_desc,fs/smb/server/smbacl.c,FIXED_EXACT,ksmbd: fix out-of-bounds in parse_sec_desc()
process_rx,drivers/usb/typec/tcpm/tcpci_maxim_core.c,FIXED_EXACT,usb: typec: tcpm/tcpci_maxim: Fix bounds check in process_rx()
rxgk_verify_response,net/rxrpc/rxgk.c,FIXED_EXACT,rxrpc: Fix leak of rxgk context in rxgk_verify_response()
rzn1_dmamux_route_allocate,drivers/dma/dw/rzn1-dmamux.c,FIXED_EXACT,dmaengine: dw: dmamux: Fix device reference leak in rzn1_dmamux_route_allocate
sco_conn_free,net/bluetooth/sco.c,FIXED_EXACT,Bluetooth: SCO: Fix UAF on sco_conn_free
v4l2_subdev_link_validate,drivers/media/v4l2-core/v4l2-subdev.c,FIXED_EXACT,media: v4l2-subdev: Support hybrid links in v4l2_subdev_link_validate()
acpi_button_add,drivers/acpi/button.c,LIKELY_FIXED,ACPI: button: Merge two switch () statements in acpi_button_probe()
acpi_os_terminate,drivers/acpi/osl.c,LIKELY_FIXED,ACPI: OSL: fix __iomem type on return from acpi_os_map_generic_address()
amdgpu_bo_fence,drivers/gpu/drm/amd/amdgpu/amdgpu_object.c,LIKELY_FIXED,drm/amdgpu: fix bo->pin leaking in amdgpu_bo_create_reserved
amdgpu_cs_submit,drivers/gpu/drm/amd/amdgpu/amdgpu_cs.c,LIKELY_FIXED,drm/amdgpu: move debug_vm handling to amdgpu_cs_parser_fini
ath11k_dp_rx_h_undecap_eth,drivers/net/wireless/ath/ath11k/dp_rx.c,LIKELY_FIXED,wifi: ath11k: fix invalid data access in ath11k_dp_rx_h_undecap_nwifi
ath11k_dp_rx_h_undecap_raw,drivers/net/wireless/ath/ath11k/dp_rx.c,LIKELY_FIXED,wifi: ath11k: fix invalid data access in ath11k_dp_rx_h_undecap_nwifi
ath11k_dp_rx_h_verify_tkip_mic,drivers/net/wireless/ath/ath11k/dp_rx.c,LIKELY_FIXED,wifi: ath11k: fix invalid data access in ath11k_dp_rx_h_undecap_nwifi
attribute_container_add_device,drivers/base/attribute_container.c,LIKELY_FIXED,driver core: attribute_container: change return type to void
btmtk_usb_wmt_recv,drivers/bluetooth/btmtk.c,LIKELY_FIXED,Bluetooth: btmtk: Fix short read errors in btmtk_usb_reg_read()
cdv_intel_dp_get_modes,drivers/gpu/drm/gma500/cdv_intel_dp.c,LIKELY_FIXED,drm/gma500/cdv_intel_dp: Demote one unworthy header fix another
cxl_acpi_qos_class,drivers/cxl/acpi.c,LIKELY_FIXED,cxl/acpi: Remove cxl_acpi_set_cache_size()
cxl_port_setup_regs,drivers/cxl/core/port.c,LIKELY_FIXED,cxl/port: Reduce number of @dport variables in cxl_port_add_dport()
dce_v6_0_sw_fini,drivers/gpu/drm/amd/amdgpu/dce_v6_0.c,LIKELY_FIXED,drm/amdgpu: Fix annotation for dce_v6_0_line_buffer_adjust function
